Rank;Sourceid;Title;Issn;SJR Best Quartile;H index;Total Docs. (2021);Country;Publisher;Coverage;Categories
106;21100432208;Historia Caribe;23226889, 01228803;Q3;3;24;Colombia;Universidad Del Atlantico;2015-2020;History (Q3)
107;21100897732;Perseitas;23461780;Q4;1;21;Colombia;Universidad Catolica Luis Amigo;2018-2021;Arts and Humanities (miscellaneous) (Q4)
108;21100316036;Signo y Pensamiento;01204823, 20272731;Q4;7;1;Colombia;Pontificia Universidad Javeriana;2014-2020;"Communication (Q4); Linguistics and Language (Q4)"
109;21100264819;Vniversitas;00419060, 20111711;Q4;4;9;Colombia;Pontificia Universidad Javeriana;2012-2020;Law (Q4)
110;21100202735;Revista Lasallista de Investigacion;17944449;Q4;9;36;Colombia;Corporacion Universitaria Lasallista;2011, 2013-2021;Multidisciplinary (Q4)
111;21100840936;Revista Luna Azul;19092474, 01225391;Q4;4;0;Colombia;Universidad de Caldas;2017-2020;"Education (Q4); Environmental Science (miscellaneous) (Q4)"
112;21100893284;Conservacion Colombiana;19001592;Q4;1;0;Colombia;Fundacion ProAves Carrera;2018;"Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Management, Monitoring, Policy and Law (Q4); Nature and Landscape Conservation (Q4)"
113;21101032724;Modulo Arquitectura CUC;23897732, 01246542;Q3;1;17;Colombia;Universidad de la Costa;2020-2021;"Visual Arts and Performing Arts (Q3); Architecture (Q4); Arts and Humanities (miscellaneous) (Q4); Urban Studies (Q4)"
114;21101057637;Biosalud;16579550;Q4;0;0;Colombia;Universidad de Caldas;2019;Medicine (miscellaneous) (Q4)
115;21101023184;Momento;01214470, 25008013;Q4;1;12;Colombia;Universidad Nacional de Colombia;2020-2021;"Electronic, Optical and Magnetic Materials (Q4); Geophysics (Q4); History and Philosophy of Science (Q4); Physical and Theoretical Chemistry (Q4); Physics and Astronomy (miscellaneous) (Q4)"
116;21100319039;Discusiones Filosoficas;1246127;Q4;3;18;Colombia;Vice-Presidency for Research and Graduate, University of Caldas;2013-2021;Philosophy (Q4)
117;21100903229;Forma y Funcion;0120338X, 22565469;Q4;1;18;Colombia;Universidad Nacional de Colombia, Department of Linguistics;2019-2021;Linguistics and Language (Q4)
118;21100371223;Memorias;17948886;Q4;3;24;Colombia;Universidad del Norte;2014-2021;"Archeology (Q4); Archeology (arts and humanities) (Q4); History (Q4)"
119;21100842562;Estudios de Literatura Colombiana;1234412;Q4;1;16;Colombia;Universidad de Antioquia;2017-2021;"Arts and Humanities (miscellaneous) (Q4); Electrical and Electronic Engineering (Q4); History (Q4); Linguistics and Language (Q4); Literature and Literary Theory (Q4)"
120;21100944295;Literatura: Teoria, Historia, Critica;01235931, 22565450;Q4;1;39;Colombia;Universidad Nacional de Colombia;2019-2021;Literature and Literary Theory (Q4)
121;21101056930;Palabra;23463864, 01218530;-;0;19;Colombia;Universidad Pedagogica y Tecnologica de Colombia, Instituto de Investigaciones y Formacion Avanzada;2021;Literature and Literary Theory
122;21101048270;Revista Colombiana de Cirugia;20117582, 26196107;-;1;83;Colombia;Asociacion Colombiana de Cirugia;2021;Surgery
123;21101046764;Revista Cuidarte;22160973, 23463414;-;1;68;Colombia;Universidad de Santander;2021;"Critical Care and Intensive Care Medicine; Family Practice; Nursing (miscellaneous)"
